left_image_id,left_split,right_image_id,right_split,hamming_distance
water_body_7056,test,water_body_605,train,2
water_body_7056,test,water_body_808,train,2
water_body_7096,test,water_body_703,train,4
water_body_7202,test,water_body_1023,train,0
water_body_7202,test,water_body_1244,train,0
water_body_7202,test,water_body_1333,train,0
water_body_7202,test,water_body_1659,train,0
water_body_7202,test,water_body_2312,train,0
water_body_7202,test,water_body_608,train,0
water_body_7202,test,water_body_636,train,0
water_body_7202,test,water_body_810,train,0
water_body_7202,test,water_body_8378,train,0
water_body_7202,test,water_body_8465,train,0
water_body_7202,test,water_body_8739,train,0
water_body_7202,test,water_body_8789,train,0
water_body_722,test,water_body_1014,train,4
water_body_722,test,water_body_7860,train,2
water_body_722,test,water_body_987,train,4
water_body_725,test,water_body_673,train,3
water_body_7756,test,water_body_1225,train,4
water_body_7756,test,water_body_7215,train,2
water_body_7777,test,water_body_1221,train,4
water_body_778,test,water_body_1023,train,0
water_body_778,test,water_body_1244,train,0
water_body_778,test,water_body_1333,train,0
water_body_778,test,water_body_1659,train,0
water_body_778,test,water_body_2312,train,0
water_body_778,test,water_body_608,train,0
water_body_778,test,water_body_636,train,0
water_body_778,test,water_body_810,train,0
water_body_778,test,water_body_8378,train,0
water_body_778,test,water_body_8465,train,0
water_body_778,test,water_body_8739,train,0
water_body_778,test,water_body_8789,train,0
water_body_833,test,water_body_7964,train,4
water_body_833,test,water_body_834,train,4
water_body_8396,test,water_body_7310,train,3
water_body_842,test,water_body_1044,train,3
water_body_8620,test,water_body_1734,train,3
water_body_8655,test,water_body_7167,train,4
water_body_973,test,water_body_1074,train,4
water_body_973,test,water_body_1093,train,3
water_body_973,test,water_body_734,train,3
water_body_984,test,water_body_1491,train,4
water_body_999,test,water_body_1157,train,4
water_body_1061,test,water_body_8711,validation,4
water_body_1283,test,water_body_1191,validation,4
water_body_1286,test,water_body_1191,validation,1
water_body_1371,test,water_body_2286,validation,2
water_body_1371,test,water_body_59,validation,2
water_body_1552,test,water_body_1619,validation,0
water_body_1552,test,water_body_8679,validation,0
water_body_1553,test,water_body_2208,validation,2
water_body_1665,test,water_body_1666,validation,3
water_body_1665,test,water_body_1682,validation,4
water_body_1678,test,water_body_2208,validation,1
water_body_7052,test,water_body_1619,validation,0
water_body_7052,test,water_body_8679,validation,0
water_body_7202,test,water_body_1619,validation,0
water_body_7202,test,water_body_8679,validation,0
water_body_7756,test,water_body_1714,validation,4
water_body_778,test,water_body_1619,validation,0
water_body_778,test,water_body_8679,validation,0
water_body_833,test,water_body_1191,validation,3
water_body_8620,test,water_body_8030,validation,3
water_body_1023,train,water_body_1619,validation,0
water_body_1023,train,water_body_8679,validation,0
water_body_1029,train,water_body_1703,validation,3
water_body_1062,train,water_body_882,validation,4
water_body_1086,train,water_body_1191,validation,4
water_body_1086,train,water_body_881,validation,4
water_body_1201,train,water_body_881,validation,3
water_body_1215,train,water_body_1554,validation,4
water_body_1244,train,water_body_1619,validation,0
water_body_1244,train,water_body_8679,validation,0
water_body_1272,train,water_body_1554,validation,4
water_body_1272,train,water_body_1557,validation,4
water_body_1273,train,water_body_1008,validation,3
water_body_1273,train,water_body_791,validation,3
water_body_1274,train,water_body_1554,validation,3
water_body_1284,train,water_body_8442,validation,4
water_body_1310,train,water_body_1843,validation,3
water_body_1310,train,water_body_881,validation,4
water_body_1323,train,water_body_731,validation,4
water_body_1333,train,water_body_1619,validation,0
water_body_1333,train,water_body_8679,validation,0
water_body_1347,train,water_body_1666,validation,2
water_body_1347,train,water_body_1703,validation,4
water_body_1359,train,water_body_1081,validation,3
water_body_1373,train,water_body_1843,validation,2
water_body_1376,train,water_body_1406,validation,4
water_body_1435,train,water_body_1554,validation,3
water_body_1479,train,water_body_881,validation,2
water_body_1505,train,water_body_1081,validation,4
water_body_1518,train,water_body_1843,validation,2
water_body_1533,train,water_body_1554,validation,3
water_body_1533,train,water_body_797,validation,4
water_body_1551,train,water_body_611,validation,4
water_body_1562,train,water_body_59,validation,1
water_body_1659,train,water_body_1619,validation,0
water_body_1659,train,water_body_8679,validation,0
water_body_1751,train,water_body_7397,validation,4
water_body_1766,train,water_body_1682,validation,4
water_body_2181,train,water_body_2263,validation,4
water_body_2312,train,water_body_1619,validation,0
water_body_2312,train,water_body_8679,validation,0
water_body_2316,train,water_body_621,validation,4
water_body_2325,train,water_body_1846,validation,4
water_body_2370,train,water_body_2286,validation,4
water_body_2370,train,water_body_59,validation,2
water_body_2388,train,water_body_1554,validation,4
water_body_2388,train,water_body_882,validation,4
water_body_2419,train,water_body_2208,validation,2
water_body_2468,train,water_body_8711,validation,2
water_body_2479,train,water_body_2286,validation,3
water_body_2479,train,water_body_59,validation,1
water_body_608,train,water_body_1619,validation,0
water_body_608,train,water_body_8679,validation,0
water_body_619,train,water_body_1843,validation,3
water_body_619,train,water_body_881,validation,4
water_body_624,train,water_body_621,validation,2
water_body_634,train,water_body_2208,validation,0
water_body_636,train,water_body_1619,validation,0
water_body_636,train,water_body_8679,validation,0
water_body_645,train,water_body_7203,validation,1
water_body_65,train,water_body_1846,validation,3
water_body_678,train,water_body_8711,validation,0
water_body_691,train,water_body_8711,validation,4
water_body_708,train,water_body_1554,validation,4
water_body_708,train,water_body_1557,validation,4
water_body_7236,train,water_body_59,validation,4
water_body_7298,train,water_body_8711,validation,0
water_body_734,train,water_body_1008,validation,3
water_body_741,train,water_body_1159,validation,4
water_body_741,train,water_body_1554,validation,4
water_body_741,train,water_body_1557,validation,4
water_body_753,train,water_body_1554,validation,3
water_body_754,train,water_body_2263,validation,4
water_body_7680,train,water_body_1672,validation,4
water_body_7680,train,water_body_2263,validation,3
water_body_7713,train,water_body_98,validation,3
water_body_774,train,water_body_1081,validation,4
water_body_7964,train,water_body_1191,validation,3
water_body_8027,train,water_body_59,validation,1
water_body_803,train,water_body_1554,validation,3
water_body_810,train,water_body_1619,validation,0
water_body_810,train,water_body_8679,validation,0
water_body_818,train,water_body_1843,validation,4
water_body_8197,train,water_body_1554,validation,4
water_body_8197,train,water_body_1557,validation,4
water_body_820,train,water_body_1843,validation,1
water_body_8336,train,water_body_7937,validation,4
water_body_834,train,water_body_1191,validation,3
water_body_8378,train,water_body_1619,validation,0
water_body_8378,train,water_body_8679,validation,0
water_body_8465,train,water_body_1619,validation,0
water_body_8465,train,water_body_8679,validation,0
water_body_8502,train,water_body_791,validation,4
water_body_8565,train,water_body_8711,validation,4
water_body_8635,train,water_body_1191,validation,3
water_body_8739,train,water_body_1619,validation,0
water_body_8739,train,water_body_8679,validation,0
water_body_8765,train,water_body_8711,validation,1
water_body_8789,train,water_body_1619,validation,0
water_body_8789,train,water_body_8679,validation,0
water_body_8837,train,water_body_2286,validation,4
water_body_8837,train,water_body_59,validation,0
water_body_920,train,water_body_1081,validation,4
water_body_920,train,water_body_1554,validation,2
water_body_920,train,water_body_1557,validation,4
water_body_920,train,water_body_797,validation,3
water_body_924,train,water_body_1554,validation,3
water_body_988,train,water_body_882,validation,4
